frame_id,captured_at,source_width,status,shift_feature_px,applied_shift_px,score,margin,band_disagreement_px,inlier_tile_count,confidence,crop_path,error
2025_0304_120000,2025-03-04T12:00:00,8246,accepted,44,709,0.6304044657143635,0.13142575684783875,0,7,0.7671025119643295,adjusted-crops/2025_0304_120000.jpg,
2025_0315_120000,2025-03-15T12:00:00,8246,accepted,-207,-3334,0.558658368120929,0.05666426551722192,0,8,0.7517453320680225,adjusted-crops/2025_0315_120000.jpg,
2025_0325_120000,2025-03-25T12:00:00,8246,accepted,1,16,0.7959145284033431,0.25391285983524436,0,8,0.8852019222268805,adjusted-crops/2025_0325_120000.jpg,
2025_0405_120000,2025-04-05T12:00:00,8246,accepted,-60,-966,0.7703378837208442,0.2058403062140678,0,8,0.8708150595929749,adjusted-crops/2025_0405_120000.jpg,
2025_0415_120000,2025-04-15T12:00:00,8246,accepted,-23,-370,0.7576138042560991,0.14416144706782064,0,8,0.8636577648940558,adjusted-crops/2025_0415_120000.jpg,
2025_0426_120000,2025-04-26T12:00:00,8246,accepted,-38,-612,0.6663460212269195,0.1578749348877544,0,8,0.8123196369401422,adjusted-crops/2025_0426_120000.jpg,
2025_0507_120000,2025-05-07T12:00:00,8246,accepted,28,451,0.6681654006306675,0.07656441915938861,1,8,0.7945930378547506,adjusted-crops/2025_0507_120000.jpg,
2025_0517_120000,2025-05-17T12:00:00,8246,accepted,53,854,0.5809983691950227,0.09917942557493142,0,8,0.7643115826722002,adjusted-crops/2025_0517_120000.jpg,
2025_0527_120000,2025-05-27T12:00:00,8246,accepted,41,660,0.7556031294135428,0.17593636641262378,0,8,0.8625267602951179,adjusted-crops/2025_0527_120000.jpg,
2025_0608_120000,2025-06-08T12:00:00,8246,accepted,41,660,0.7220163169589217,0.17564228933976378,0,8,0.8436341782893935,adjusted-crops/2025_0608_120000.jpg,
2025_0623_120000,2025-06-23T12:00:00,8246,accepted,-24,-387,0.71839765918544,0.15643962387770938,0,8,0.8415986832918101,adjusted-crops/2025_0623_120000.jpg,
2025_0710_120000,2025-07-10T12:00:00,8246,rejected,-132,,0.44594239107614353,0.025921283917355653,47,6,0,,
2025_0727_120000,2025-07-27T12:00:00,8246,accepted,40,644,0.7233716966481955,0.11188971055617047,1,8,0.82564657936461,adjusted-crops/2025_0727_120000.jpg,
